Name_RK	RAJ2000_RK	DEJ2000_RK	Type1_RK	Type2_RK	mag1_RK	Orb.Per	Distance_RK	5%_RK	95%_RK  	Name_DS	RAJ2000_DS	DEJ2000_DS	PM-RA_DS	PM-RAerr_DS	PM-Dec_DS	PM-Decerr_DS	Epoch_DS	l_DS	b_DS	Type_DS	Period_DS	Outburst_DS	Cluster_DS	Mag. Range_DS	Coord-Ref_DS	PM-Ref_DS	Type-Ref_DS	Chart-Ref_DS	Spect-Ref_DS	Period-Ref_DS	Other-Name_DS	IUE_DS	HST_DS	ARIEL5_DS	HEAO1_DS	HEAO2_DS	EXOSAT_DS	ROSAT_DS	GINGA_DS	ASCA_DS	EUVE_DS		Link_Name_SIMBAD 	Link_Coord_SIMBAD
V1017 Sgr,  18 32 04.5,  -29 23 12,  Nb,  DN,  13.32,  5.714000,  1283.61,  111.04,  127.86,  V1017 Sgr,  18 32 04.47,  -29 23 12.3,  ,  ,  ,  ,  ,  4,  -9,  nb/dn:,  5714,  1919.19,  ,  7.2V-13.7V,  ICRS,  ,  1992-31*,  1987-08,  1983-12S,  1992-39,  HV 3519,  ,  ,  ,  ,  ,  Y,  ,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V1017 Sgr,  http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=18 32 04.5++-29 23 12&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
MR Vel,  09 25 45.9,  -47 58 18,  SS,    ,  16.06,  4.028782,  7740.00,  2435.16,  4354.83,  MR Vel,  09 25 46.03,  -47 58 17.8,  ,  ,  ,  ,  ,  271,  2,  cbss,  4.028782,  ,  ,  17.0V-17.3V,  ICRS,  ,  1994-69,  1994-69,  1994-69S,  2001-92,  RX J0925.7-4758,  ,  ,  ,  ,  ,  ,  Y,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=MR Vel,  http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=09 25 45.9++-47 58 18&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
V630 Cas,  23 48 51.9,  +51 27 39,  DN,    ,  16.13,  2.563870,  3682.09,  861.86,  1611.33,  V630 Cas,  23 48 51.91,  +51 27 39.4,  -6,  1,  0,  1,  2000,  113,  -10,  ug:,  2.56387,  1950.,  ,  12.3p-17.1p,  2003-115,  2003-115,  1987-08,  1987-08,  1992-01S,  2001-41,  OV 29,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V630 Cas,  http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=23 48 51.9+++51 27 39&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
GK Per,  03 31 12.0,  +43 54 16,  Na,  DN,  12.59,  1.996803,  442.25,  13.25,  14.47,  GK Per,  03 31 12.01,  +43 54 15.4,  -0.0086,  0.0028,  -0.0172,  3,  2000,  151,  -10,  na/dq,  1.9968,  1901.,  ,  0.2v-13.9B,  2004-105,  2004-105,  1987-08/1995-41,  1987-08,  1983-12S,  1986-20,  BD +43 740a,  Y,  Y,  ,  ,  Y,  Y,  Y,  ,  Y,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=GK Per,  http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=03 31 12.0+++43 54 16&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
J2044-0459,  20 44 48.9,  -04 59 29,  DN,  UG,  16.40,  1.680000,  2372.79,  646.10,  1350.98,  Aqr,  20 44 48.92,  -04 59 28.8,  0.00283,  0.0039,  -0.00223,  0.00389,  2000738,  42,  -27,  cv,  1.68,  ,  ,  16.9s-,  2006-22,  2006-22,  2003-22,  A9999-99,  2003-22S,  2005-117,  SDSS J204448-045929,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=J2044-0459,  http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=20 44 48.9++-04 59 29&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
V394 CrA,  18 00 26.0,  -39 00 35,  Nr,    ,  17.99,  1.515682,  4040.67,  2098.66,  4258.88,  V394 CrA,  18 00 25.97,  -39 00 35.1,  ,  ,  ,  ,  ,  353,  -8,  nrb,  ,  1949.22,  ,  7.2V-18.8V,  C00002,  ,  1991-10*,  1988-12*,  1991-10X,  *,  N Sco 1949,  Y,  Y,  ,  ,  ,  ,  Y,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V394 CrA,  http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=18 00 26.0++-39 00 35&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
X  Ser,  16 19 17.7,  -02 29 30,  Nb,    ,  17.11,  1.480000,  3982.30,  1702.78,  3865.36,  X Ser,  16 19 17.71,  -02 29 30.0,  0.0007,  5,  -22,  5,  2000,  11,  31,  nb:,  1.48,  1903.,  ,  8.9p-18.3p,  2004-106,  2004-106,  1987-08,  1987-08,  1983-12S,  2000-77,  HV 3137,  Y,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=X  Ser,  http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=16 19 17.7++-02 29 30&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
U  Sco,  16 22 30.8,  -17 52 44,  Nr,    ,  18.17,  1.230547,  -2.84,  0.01,  0.02,  U Sco,  16 22 30.81,  -17 52 44.1,  ,  ,  ,  ,  ,  358,  22,  nrb,  1.230552,  1863.,  ,  8.8V-19.5V,  ICRS,  ,  1987-22,  1987-08,  1981-02S,  2001-98,  BD -17 4554,  Y,  Y,  ,  ,  ,  ,  ,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=U  Sco,  http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=16 22 30.8++-17 52 44&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
AKO 9,  00 24 04.8,  -72 04 55,  DN,    ,  11.37,  1.109099,  3561.15,  1049.66,  2182.86,  Tuc,  00 24 04.95,  -72 04 55.2,  ,  ,  ,  ,  ,  306,  -45,  ug:,  1.109099,  ,  G,  15.5U-19.5U,  1997-44*,  ,  1997-33,  1997-33,  ,  2003-99,  NGC 104 AKO9,  ,  Y,  ,  ,  Y,  ,  ,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=AKO 9,  http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 24 04.8++-72 04 55&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
CP Cru,  12 10 31.4,  -61 45 10,  Na,    ,  19.68,  0.944000,  3077.10,  1857.91,  4558.78,  CP Cru,  12 10 31.33,  -61 45 09.7,  ,  ,  ,  ,  ,  298,  1,  na:,  944,  1996.65,  ,  9.3V-19.5V,  ICRS,  ,  1996-33,  2000-15,  1997-01X:,  2003-07,  ,  ,  Y,  ,  ,  ,  ,  ,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=CP Cru,  http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=12 10 31.4++-61 45 10&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
V1082 Sgr,  19 07 21.9,  -20 46 50,  NL,  VY,  14.07,  0.867520,  670.89,  19.99,  21.21,  V1082 Sgr,  19 07 21.87,  -20 46 50.3,  -0.0036,  5,  0.0018,  5,  2000,  16,  -13,  vy,  ,  ,  ,  14.2p-15.5p,  2004-106,  2004-106,  1988-09,  1998-21,  1988-09S,  ,  vG 237,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,    ,  http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V1082 Sgr,  http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=19 07 21.9++-20 46 50&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
