V1017 Sgr,  18 32 04.5,  -29 23 12,  V1017 Sgr,  18 32 04.47,  -29 23 12.3
MR Vel,  09 25 45.9,  -47 58 18,  MR Vel,  09 25 46.03,  -47 58 17.8
V630 Cas,  23 48 51.9,  +51 27 39,  V630 Cas,  23 48 51.91,  +51 27 39.4
GK Per,  03 31 12.0,  +43 54 16,  GK Per,  03 31 12.01,  +43 54 15.4
V394 CrA,  18 00 26.0,  -39 00 35,  V394 CrA,  18 00 25.97,  -39 00 35.1
X  Ser,  16 19 17.7,  -02 29 30,  X Ser,  16 19 17.71,  -02 29 30.0
U  Sco,  16 22 30.8,  -17 52 44,  U Sco,  16 22 30.81,  -17 52 44.1
CP Cru,  12 10 31.4,  -61 45 10,  CP Cru,  12 10 31.33,  -61 45 09.7
V1082 Sgr,  19 07 21.9,  -20 46 50,  V1082 Sgr,  19 07 21.87,  -20 46 50.3
V726 Sgr,  18 19 33.7,  -26 53 20,  V726 Sgr,  18 19 33.69,  -26 53 19.6
V731 Cas,  23 57 00.3,  +56 45 08,  V731 Cas,  23 57 00.17,  +56 45 08.8
V723 Cas,  01 05 05.4,  +54 00 41,  V723 Cas,  01 05 05.37,  +54 00 40.5
V368 Aql,  19 26 34.4,  +07 36 14,  V368 Aql,  19 26 34.44,  +07 36 13.4
QR And,  00 19 49.8,  +21 56 53,  QR And,  00 19 49.93,  +21 56 52.1
V445 Pup,  07 37 56.9,  -25 56 59,  V445 Pup,  07 37 56.88,  -25 56 58.8
V478 Her,  17 21 05.6,  +23 39 40,  V478 Her,  17 21 05.60,  +23 39 36.8
CI Aql,  18 52 03.6,  -01 28 39,  CI Aql,  18 52 03.59,  -01 28 39.3
BV Cen,  13 31 19.6,  -54 58 34,  BV Cen,  13 31 19.48,  -54 58 33.5
V841 Oph,  16 59 30.3,  -12 53 27,  V841 Oph,  16 59 30.37,  -12 53 27.2
DI Lac,  22 35 48.6,  +52 43 00,  DI Lac,  22 35 48.60,  +52 42 59.5
V  Sge,  20 20 14.8,  +21 06 09,  V Sge,  20 20 14.69,  +21 06 10.4
UY Pup,  07 46 31.2,  -12 57 09,  UY Pup,  07 46 31.24,  -12 57 09.0
V442 Cen,  11 24 51.9,  -35 54 38,  V442 Cen,  11 24 51.93,  -35 54 36.8
EY Cyg,  19 54 36.8,  +32 21 55,  EY Cyg,  19 54 36.74,  +32 21 55.1
QU Car,  11 05 42.8,  -68 37 58,  QU Car,  11 05 42.51,  -68 37 58.2
DX And,  23 29 46.7,  +43 45 04,  DX And,  23 29 46.68,  +43 45 04.1
KO Vel,  10 15 58.4,  -47 58 11,  KO Vel,  10 15 58.31,  -47 58 10.1
Q  Cyg,  21 41 43.9,  +42 50 29,  Q Cyg,  21 41 43.93,  +42 50 29.1
WX Cen,  13 12 52.5,  -63 23 45,  WX Cen,  13 12 52.38,  -63 23 45.9
V1062 Tau,  05 02 27.5,  +24 45 23,  V1062 Tau,  05 02 27.47,  +24 45 23.4
AE Aqr,  20 40 09.0,  -00 52 16,  AE Aqr,  20 40 09.16,  -00 52 15.1
SY Cnc,  09 01 03.4,  +17 53 56,  SY Cnc,  09 01 03.34,  +17 53 56.1
AT Ara,  17 30 33.8,  -46 05 59,  AT Ara,  17 30 33.79,  -46 05 58.1
RU Peg,  22 14 02.6,  +12 42 11,  RU Peg,  22 14 02.56,  +12 42 11.5
RZ Gru,  22 47 12.0,  -42 44 39,  RZ Gru,  22 47 12.00,  -42 44 38.7
QZ Aur,  05 28 34.0,  +33 18 23,  QZ Aur,  05 28 34.06,  +33 18 20.9
GY Hya,  14 30 30.5,  -25 52 38,  GY Hya,  14 30 30.47,  -25 52 38.0
CH UMa,  10 07 00.6,  +67 32 47,  CH UMa,  10 07 00.69,  +67 32 47.3
MU Cen,  12 12 53.9,  -44 28 16,  MU Cen,  12 12 53.88,  -44 28 16.1
BT Mon,  06 43 47.2,  -02 01 15,  BT Mon,  06 43 47.25,  -02 01 14.7
V1309 Ori,  05 15 41.4,  +01 04 40,  V1309 Ori,  05 15 41.41,  +01 04 40.4
