Unique_Name,Unique_RA,Unique_DEC,Name_RK,RAJ2000_RK,DEJ2000_RK, Type1_RK, Type2_RK, mag1_RK, Orb_Per_RK, Distance_RK, 5%_RK, 95%_RK, Name_DS, RAJ2000_DS, DEJ2000_DS, PM-RA_DS, PM-RAerr_DS, PM-Dec_DS, PM-Decerr_DS, Epoch_DS, l_DS, b_DS, Type_DS, Period_DS, Outburst_DS, Cluster_DS, Mag. Range_DS, Coord-Ref_DS, PM-Ref_DS, Type-Ref_DS, Chart-Ref_DS, Spect-Ref_DS, Period-Ref_DS, Other-Name_DS, IUE_DS, HST_DS, ARIEL5_DS, HEAO1_DS, HEAO2_DS, EXOSAT_DS, ROSAT_DS, GINGA_DS, ASCA_DS, EUVE_DS, Same_Name, Link_Name_SIMBAD, Link_Coord_SIMBAD
BE Oct,00 00 48.9371054411,-77 18 57.782359239,BE Oct,00 00 48.8,-77 18 57, DN, SU, 18.96, 0.074700, 2284.78, 939.20, 2887.27, BE Oct, 00 00 48.97, -77 18 57.6, , , , , ,307,-39, ugsu, , , , 15.0V-19.4V, ICRS, , 1996-32, 1963-03*, 2003-15S, *, S 6633, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=BE Oct,
EF Tuc,00 01 55.1033419416,-67 07 43.332898506,EF Tuc,00 01 55.0,-67 07 44, DN,   , 14.75, 0.150000, 1395.42, 71.22, 81.93, EF Tuc, 00 01 55.10, -67 07 43.3, 0.0128, 0.0058, -0.0047, 0.0058,2000,310,-49, ug,145, , , 12.4I-14.6I, 2004-105, 2004-105, 2002-120, A9999-99, 2001-56S, 2003-87, 1RXS J0001-6707, , , , , , , Y, , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=EF Tuc,
V402 And,00 11 07.3,+30 32 36,V402 And,00 11 07.3,+30 32 36, DN, SU, 20.13, 0.062100, 2262.87, 1623.01, 4550.96, V402 And, 00 11 07.3, +30 32 36., , , , , ,113,-32, ugsu, , , , 15.5p-20.3B, 1998-22, , 2000-49, 1998-22, , *, Antipin V62, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V402 And,
WW Cet,00 11 24.7725920913,-11 28 43.204274910,WW Cet,00 11 24.8,-11 28 43, DN, ZC, 13.55, 0.175800, 218.12, 3.70, 3.59, WW Cet, 00 11 24.77, -11 28 43.2, 0.0126, 0.0014,9, 0.0032,2000,90,-71, ugz:, 0.1758, , , 9.3V-15.7V, 2004-105, 2004-105, 1987-20, 1982-03, 1983-12S, 1996-68, HV 8002/PHL 718, Y, , , Y, Y, Y, Y, , Y, ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=WW Cet,
V513 Cas,00 18 14.9155201336,+66 18 13.654082548,V513 Cas,00 18 14.9,+66 18 14, DN, ZC, 15.78, 0.217000, 849.16, 51.75, 56.48, V513 Cas, 00 18 14.90, +66 18 13.5, 0.0011,5, -0.0071,5,2000,120,3, ugZ:, , , , 15.5p-<17.2p, 2004-106, 2004-106, 1987-04/T00000, 1987-04*, 1999-08X, , MacC v4, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V513 Cas,
QR And,00 19 49.9252841335,+21 56 52.166609264,QR And,00 19 49.8,+21 56 53, SS, IP, 12.24, 0.660465, 2049.78, 263.07, 367.85, QR And, 00 19 49.93, +21 56 52.1, 0.0184, 0.0013,-6, 0.0013,2000,113,-40, cbss, 0.660465, , , 12.2V-, 2004-105, 2004-105, 1995-71, 1995-70, 1995-71S, 2001-89, RX J0019.8+2156, , Y, , , , , Y, , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=QR And,
V592 Cas,00 20 52.2230642582,+55 42 16.233043666,V592 Cas,00 20 52.2,+55 42 17, UX, SH, 12.65, 0.115063, 455.81, 11.36, 11.79, V592 Cas, 00 20 52.24, +55 42 16.2, -0.0137,4, -0.0039, 0.0041,2000,119,-6, ux, 0.115063, , , 12.8V- , 2000-110, 2000-110, 1989-16, A00001, 1994-07S, 1998-71, LS I +55 08, Y, , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V592 Cas,
CM Phe,00 21 33.1735182987,-51 42 34.646504131,CM Phe,00 21 33.1,-51 42 34, NL,   , 15.40, 0.268900, 315.30, 6.15, 6.42, CM Phe, 00 21 33.17, -51 42 34.8, 0.0071, 0.0053, -0.0108, 0.0053,2000,314,-65, nl?/cv, 0.2689, , , 15.3V- , 2004-105, 2004-105, 1989-16/1995-16, 1969-03, 1998-13S, 2002-38, Phe1/JL 181, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=CM Phe,
EN Cet,00 27 28.0195819967,-01 08 28.655943928,EN Cet,00 27 28.0,-01 08 28, DN,   ,  nan, 0.059330, nan, nan, nan, EN Cet, 00 27 28.01, -01 08 28.5, 0.00801, 0.0039, -0.00613, 0.00389,2002677,109,-63, cv/ug:, , , , 14.5R-<18.5R, 2006-22, 2006-22, 1997-12, 1998-20, 1998-20X, , BAO 04, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=EN Cet,
V709 Cas,00 28 48.8268573576,+59 17 22.032796584,V709 Cas,00 28 48.9,+59 17 22, NL, IP, 14.37, 0.222204, 747.74, 19.12, 19.20, V709 Cas, 00 28 48.84, +59 17 22.3, 0.0011,5, 0.0083,5,2000,120,-3, dq, 0.2225, , , 14.8B-15.4B, 2004-106, 2004-106, 1996-09, 1996-09, 1996-09S, 2001-36, Cas2,  RX J0028+5917, , Y, Y, Y, , , Y, , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V709 Cas,
PX And,00 30 05.8083590217,+26 17 26.438854924,PX And,00 30 05.8,+26 17 27, NL, SW, 14.85, 0.146353, 815.45, 43.80, 51.40, PX And, 00 30 05.81, +26 17 26.5,-11, 0.0027, -0.0112, 0.0026,2000,117,-36, nl/vy, 0.146353, , , 15.0V-17.0V, 2004-105, 2004-105, 1992-32/1994-49, 1982-06, 1991-02S, 2002-131, And1,  PG 0027+260, Y, , , , , Y, Y, , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=PX And,
KP Cas,00 38 54.7954770131,+61 13 00.016198123,KP Cas,00 38 54.8,+61 13 00, DN, SU, 19.07, 0.081400, 602.95, 124.21, 216.28, KP Cas, 00 38 54.78, +61 13 00.2,12,4,0,3,2000,121,-1, UGSS, , , , 15.2p-20p, 2003-115, 2003-115, T00000, 2000-30*, , , S 3865, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=KP Cas,
PT And,00 40 24.28,+41 04 03.5,PT And,00 40 24.4,+41 04 03, DN, SU,  nan, 0.056000, nan, nan, nan, PT And, 00 40 24.35, +41 04 03.1, , , , , ,121,-22, ug/rn, , , , 16.3B-<22.B, ICRS*, , 2000-56, 2000-56*, , , Rosino N 15, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=PT And,
HV And,00 40 55.34,+43 24 59.3,HV And,00 40 55.3,+43 24 59, NL, SH, 15.78, 0.055990, 1647.42, 313.87, 521.37, HV And, 00 40 55.41, +43 24 59.4, 0.0112,5, -0.0111,5,2000,121,-19, nl, 0.05599, , , 15.2B-16.8B, 1987-28, 1987-28, 1995-41, 1975-05, 1992-09S, 1985-22, S 10777, , Y, , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=HV And,
LL And,00 41 51.47,+26 37 20.9,LL And,00 41 51.5,+26 37 21, DN, SU, 20.14, 0.055055, 2270.94, 1538.70, 4346.20, LL And, 00 41 51.46, +26 37 21.3,6,1, -0.01,3,2000,120,-36, ugsu, 0.055055, , , 13.8V-20.0V, 2003-115, 2003-115, 1994-33, 1996-13, 1996-13X, 2003-81, , , Y, , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=LL And,
GX Cas,00 49 01.5032436110,+56 52 43.582373008,GX Cas,00 49 01.5,+56 52 45, DN, SU, 18.26, 0.089000, 388.08, 50.06, 67.84, GX Cas, 00 49 01.55, +56 52 44.1, 0.0122,5, -0.0067,5,2000,123,-5, ugsu,89, , , 13.3V-18.5V, 2004-106, 2004-106, 1994-39, 1957-02, 2000-01S, 2003-81, S 3330, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=GX Cas,
V452 Cas,00 52 18.0062985216,+53 51 50.149290370,V452 Cas,00 52 18.1,+53 51 50, DN, SU, 18.55, 0.085700, 1015.30, 300.80, 642.09, V452 Cas, 00 52 18.06, +53 51 50.1, , , , , ,123,-9, ugsu, , , , 14.5V-18.7V, ICRS, , 1999-54, 1996-36*, 2000-01S, *, S 10453, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V452 Cas,
IW And,01 01 08.9069821068,+43 23 25.791261612,IW And,01 01 08.9,+43 23 26, DN, ZC, 15.05, 0.155000, 851.27, 84.91, 105.22, IW And, 01 01 08.91, +43 23 25.8,1, 0.0054, -0.0047, 0.0054,2000,125,-19, ugz, , , , 14.2p-17.4p, 2004-105, 2004-105, 2003-14, 1975-05, 1999-08X, , S 10792, , , , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=IW And,
RX And,01 04 35.5373041151,+41 17 57.783687786,RX And,01 04 35.6,+41 17 58, DN, ZC, 13.17, 0.209893, 199.06, 3.26, 3.40, RX And, 01 04 35.54, +41 17 57.8, 0.0022, 0.0007, -0.0225, 0.0011,2000,126,-21, ugz, 0.209893, , , 10.9v-12.6v, 2004-105, 2004-105, 1987-20, 1983-12, 1983-12S, 1989-21, 1E 0101+4101, Y, Y, , , Y, , Y, , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=RX And,
V723 Cas,01 05 05.3607495884,+54 00 40.237067501,V723 Cas,01 05 05.4,+54 00 41, Nb,   , 15.50, 0.693277, 6542.84, 1885.65, 3510.25, V723 Cas, 01 05 05.37, +54 00 40.5, , , , , ,125,-9, nb, 0.693265, 1995.65, , 7.1V-<18V, 1995-25, , 1995-25, 1998-77, 1998-16X, 2002-128, , Y, Y, , , , , , , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=V723 Cas,
HT Cas,01 10 13.1213309510,+60 04 35.489284826,HT Cas,01 10 13.0,+60 04 36, DN, SU, 16.35, 0.073647, 141.45, 2.13, 2.09, HT Cas, 01 10 13.12, +60 04 35.7, 0.0278,5, -0.0097,5,2000,125,-2, ugsu, 0.073647, , , 10.8v-18.4v, 2004-106, 2004-106, 1987-20, 1983-12, 1983-12S, 1991-32, S 3343, Y, Y, , , Y, Y, Y, , Y, ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=HT Cas,
FO And,01 15 32.1564359017,+37 37 35.560818765,FO And,01 15 32.1,+37 37 36, DN, SU, 17.98, 0.071610, 616.26, 82.28, 116.18, FO And, 01 15 32.14, +37 37 35.6,24,7,-4,6,2000,128,-25, ugsu, 0.07161, , , 13.5v-17.5v, 2003-115, 2003-115, 1995-41, 1987-04*, 1989-06S, 1996-73, S 9508, , , , , , , Y, , , ,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=FO And,
WX Cet,01 17 04.17,-17 56 23.0,WX Cet,01 17 04.2,-17 56 23, DN, SU, 18.14, 0.058261, 265.03, 16.98, 20.02, WX Cet, 01 17 04.18, -17 56 22.6, -0.01,3,0,5,2000,157,-79, ugwz, 0.05829, , , 9.5V-18.5V, 2003-115, 2003-115, 1987-08, 1987-08, 1981-03S, 2003-81, BV 416, Y, Y, , , , , Y, , , Y,1, http://simbad.u-strasbg.fr/simbad/sim-id?Ident=WX Cet,
