GCVS-Name,RA(2000),Dec(2000),PM-RA,PM-RAerr,PM-Dec,PM-Decerr,Epoch,l,b,Type,Period,Outburst,Cluster,Mag. Range,Coord-Ref.,PM-Ref,Type-Ref.,Chart-Ref.,Spect-Ref.,Period-Ref.,Other-Name,IUE,HST,ARIEL5,HEAO1,HEAO2,EXOSAT,ROSAT,GINGA,ASCA,EUVE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BE Oct,00:00:48.97,-77:18:57.6,,,,,,307,-39,ugsu,,,,15.0V-19.4V,ICRS,,1996-32,1963-03*,2003-15S,*,S 6633,,,,,,,,,,,
EF Tuc,00:01:55.10,-67:07:43.3,0.0128,0.0058,-0.0047,0.0058,2000,310,-49,ug,145,,,12.4I-14.6I,2004-105,2004-105,2002-120,A9999-99,2001-56S,2003-87,1RXS J0001-6707,,,,,,,Y,,,,
Tuc,00:06:,-69:00:,,,,,,309,-48,cv,72,,,-,2005-10,,2005-10,,,2005-10,CTCV J0006-6900,,,,,,,,,,,
FI Cas,00:06:09.96,+55:58:50.7,-21,5,-0.0048,5,2000,117,-6,ugSS,,,,15.0p-18.5p,2004-106,2004-106,1987-04/T00000,1987-04,2000-01S,,230.1940,,,,,,,,,,,
V402 And,00:11:07.3,+30:32:36.,,,,,,113,-32,ugsu,,,,15.5p-20.3B,1998-22,,2000-49,1998-22,,*,Antipin V62,,,,,,,,,,,
WW Cet,00:11:24.77,-11:28:43.2,0.0126,0.0014,9,0.0032,2000,90,-71,ugz:,0.1758,,,9.3V-15.7V,2004-105,2004-105,1987-20,1982-03,1983-12S,1996-68,HV 8002/PHL 718,Y,,,Y,Y,Y,Y,,Y,,
Peg1,00:11:33.10,+18:49:48.4,,,,,,,,non-cv,,,,- ,,,1999-09*,,,,PG 0008+185,,,,,,,,,,,
Cas,00:12:43.5,+52:47:20.,,,,,,117,-10,ug:,,,,13.8v-19.5v,ICRS,,1999-21,A9999-99,,,LD 324,,,,,,,,,,,
DK Cas,00:18:07.83,+57:26:07.1,68,15,14,8,2000,118,-5,ugss,,,,15.3p-18.6V,2003-115,2003-115,2001-19,1991-15*,2000-01S,,244.1940,,,,,,,,,,,
V513 Cas,00:18:14.90,+66:18:13.5,0.0011,5,-0.0071,5,2000,120,3,ugZ:,,,,15.5p-<17.2p,2004-106,2004-106,1987-04/T00000,1987-04*,1999-08X,,MacC v4,,,,,,,,,,,
And,00:18:56.93,+34:54:44.3,,,,,,115,-27,nl,,,,17.8s-,2005-32,,2005-32,A9999-99,2005-32S,,SDSS J001856+345444,,,,,,,,,,,
HP And,00:19:09.3,+41:27:42.,,,,,,116,-21,UG:,,,,10.5p-<14.5p,ICRS*,,T00000,1926-01,,,SVS 71,,,,,,,,,,,
QR And,00:19:49.93,+21:56:52.1,0.0184,0.0013,-6,0.0013,2000,113,-40,cbss,0.660465,,,12.2V-,2004-105,2004-105,1995-71,1995-70,1995-71S,2001-89,RX J0019.8+2156,,Y,,,,,Y,,,,
VW Tuc,00:20:19.11,-73:52:08.1,,,,,,306,-43,UG:,,,,15.4p-<16.5p,ICRS,,T00000,1991-15*,1998-13S,,HV 6327,,,,,,,,,,,
V592 Cas,00:20:52.24,+55:42:16.2,-0.0137,4,-0.0039,0.0041,2000,119,-6,ux,0.115063,,,12.8V- ,2000-110,2000-110,1989-16,A00001,1994-07S,1998-71,LS I +55 08,Y,,,,,,,,,,
CM Phe,00:21:33.17,-51:42:34.8,0.0071,0.0053,-0.0108,0.0053,2000,314,-65,nl?/cv,0.2689,,,15.3V- ,2004-105,2004-105,1989-16/1995-16,1969-03,1998-13S,2002-38,Phe1/JL 181,,,,,,,,,,,
And,00:21:48.45,+35:04:51.2,11,5,-0.0078,5,2000,116,-27,cv,,,,15.0v- ,2004-105,2004-105,1999-37*,1994-71,,,FBS 0019+348,,,,,,,,,,,
Cas,00:22:57.63,+61:41:07.8,,,,,,120,-1,cv,,,,18.0B-,2006-20,,2006-20,2006-20,2006-20S,,IGR J00234+6141,,,,,,,Y,,,,
V410 Cas,00:23:27.67,+61:46:28.9,,,,,,120,0,NL/z an,,,,15.5p-18p,ICRS,,T00000/1992-03,1967-02*,,,S 10141,,,,,,,,,,,
Tuc,00:23:59.34,-72:04:38.7,,,,,,306,-45,cv,,,G,21.3w-,2003-78,,2003-78,A9999-99*,,,NGC 104-W85,,Y,,,,,,,,,
Tuc,00:24:01.37,-72:04:42.0,,,,,,306,-45,cv,,,G,21.5w-,2003-78,,2003-78,A9999-99,,,NGC 104-W82,,Y,,,,,,,,,
Tuc,00:24:02.06,-72:05:42.3,,,,,,306,-45,cv,,,G,22.6w-,2003-78,,2003-78,2003-79,,,NGC 104-W56,,Y,,,,,,,,,
Tuc,00:24:02.15,-72:04:50.4,,,,,,306,-45,cv:,,,G,21.7w-,2003-78,,2003-78,A9999-99*,,,NGC 104-W55,,Y,,,,,,,,,
Tuc,00:24:02.48,-72:05:11.5,,,,,,306,-45,cv,,,G,22.0w-,2003-78,,2003-78,2003-79*,,,NGC 104-W53,,Y,,,,,,,,,
Tuc,00:24:02.79,-72:04:49.3,,,,,,306,-45,cv,,,G,22.1w-,2003-78,,2003-78,2003-79,,,NGC 104-W51,,Y,,,,,,,,,
Tuc,00:24:03.07,-72:04:47.5,,,,,,306,-45,cv,,,G,23.4w-,2003-78,,2003-78,A9999-99*,,,NGC 104-W49,,Y,,,,,,,,,
Tuc,00:24:03.41,-72:04:58.9,,,,,,306,-45,cv,,,G,23.2V-,2003-78,,2003-78,2003-78,,,NGC 104-W44,,Y,,,,,,,,,
Tuc,00:24:03.52,-72:04:22.9,,,,,,306,-45,cv,,,G,21.9V-,2003-78,,2003-78,2003-78*,,,NGC 104-W45,,Y,,,,,,,,,
Tuc,00:24:03.66,-72:05:04.5,,,,,,306,-45,cv:,,,G,-,2002-57*,,2002-57,2002-57,,,NGC 104 CV,,Y,,,,,,,,,
Tuc,00:24:03.78,-72:06:21.9,,,,,,306,-45,cv,,,G,19.0w-,2003-78,,2003-78,2003-79,,,NGC 104-W122,,Y,,,,,,,,,
Tuc,00:24:03.98,-72:04:57.9,,,,,,306,-45,cv,,,G,19.9V-,2003-78,,2003-78,2003-78,,*,NGC 104-W42,,Y,,,,,,,,,
Tuc,00:24:04.61,-72:06:06.0,,,,,,306,-45,cv:,,,G,24.1V-,2001-111,,2001-111,2002-91,,,NGC 104 WF4-V16,,Y,,,,,,,,,
Tuc,00:24:04.94,-72:04:46.6,,,,,,306,-45,cv,0.06767,,G,22.8V-,2003-78,,2003-78*,2003-78,,2003-78,NGC 104-W34,,Y,,,,,,,,,
Tuc,00:24:04.95,-72:04:55.2,,,,,,306,-45,ug:,1.109099,,G,15.5U-19.5U,1997-44*,,1997-33,1997-33,,2003-99,NGC 104 AKO9,,Y,,,Y,,,,,,
Tuc,00:24:05.00,-72:05:06.5,,,,,,306,-45,cv:,,,G,21.1w-,2003-78,,2003-78,A9999-99*,,,NGC 104-W35,,Y,,,,,,,,,
Tuc,00:24:05.14,-72:04:21.5,,,,,,306,-45,cv,,,G,21.4V-,2003-78,,2003-78,2003-78,,,NGC 104-W33,,Y,,,,,,,,,
Tuc,00:24:05.24,-72:04:51.1,,,,,,306,-45,cv:,,,G,19.9U- ,1997-44,,1996-26,,,,NGC 104 Edmonds V7,,,,,,,,,,,
Tuc,00:24:05.61,-72:05:04.6,,,,,,306,-45,cv:,,,G,22.8w-,2003-78,,2003-78*,A9999-99*,,,NGC 104-W31,,Y,,,,,,,,,
Tuc,00:24:05.65,-72:04:49.2,,,,,,306,-45,cv:,,,G,-,2005-25,,2005-25*,,,,NGC 104-W32,,,,,,,,,,,
Tuc,00:24:06.02,-72:04:55.8,,,,,,306,-45,ug,,,G,15.4f-20.4V,2001-111*,,1994-06,2002-91,1994-06X,*,NGC 104 PC1-V53,,Y,,,,,,,,,
Tuc,00:24:06.10,-72:04:42.9,,,,,,306,-45,cv,0.19449,,G,23.1V-,2003-78,,2003-78,2003-78,,2005-25,NGC 104-W27,,Y,,,,,,,,,
Tuc,00:24:06.26,-72:04:45.9,,,,,,306,-45,cv:,,,G,18.5V-,2001-111*,,2001-111,2002-91,,,NGC 104 PC1-V52,,Y,,,,,,,,,
Tuc,00:24:06.38,-72:04:48.9,,,,,,306,-45,cv:,,,G,-,2002-57*,,2002-57,2002-57,,,NGC 104 CV,,Y,,,,,,,,,
Tuc,00:24:06.43,-72:05:07.0,,,,,,306,-45,cv:,,,G,-,2002-57*,,2002-57,2002-57,,,NGC 104 CV,,Y,,,,,,,,,
Tuc,00:24:06.51,-72:04:52.0,,,,,,306,-45,cv,,,G,-,2002-57*,,2002-57,2002-57,,,NGC 104 PC1-V36,,Y,,,,,,,,,
Tuc,00:24:06.59,-72:05:04.1,,,,,,306,-45,cv:,,,G,-,2002-57*,,2002-57,2002-57,,,NGC 104 CV,,Y,,,,,,,,,
Tuc,00:24:06.62,-72:04:56.1,,,,,,306,-45,cv:,,,G,-,2002-57*,,2002-57,2002-57,,,NGC 104 CV,,Y,,,,,,,,,
Tuc,00:24:06.80,-72:05:10.2,,,,,,306,-45,cv:,,,G,-,2002-57*,,2002-57,2002-57,,,NGC 104 CV,,Y,,,,,,,,,
Tuc,00:24:06.86,-72:05:45.7,,,,,,306,-45,cv,,,G,21.3V-,2003-78,,2003-78,2003-78,,,NGC 104-W25,,Y,,,,,,,,,
Tuc,00:24:06.89,-72:04:53.0,,,,,,306,-45,cv:,,,G,-,2002-57*,,2002-57,2002-57,,,NGC 104 CV,,Y,,,,,,,,,
Tuc,00:24:07.50,-72:05:27.2,,,,,,306,-45,cv,0.07223,,G,20.9V-,2003-78,,2003-78,2003-78,,2003-78,NGC 104-W21,,Y,,,,,,,,,
Tuc,00:24:07.92,-72:04:54.8,,,,,,306,-45,cv:,,,G,-,2005-25,,2005-25*,,,,NGC 104-W20,,,,,,,,,,,
Tuc,00:24:08.19,-72:05:00.2,,,,,,306,-45,cv,0.1764,,G,22.5V-,2003-78,,2003-78,2003-78,,2003-78,NGC 104-W15,,Y,,,,,,,,,
Tuc,00:24:08.28,-72:04:35.7,,,,,,306,-45,cv:,,,G,-,2005-25,,2005-25*,,,,NGC 104-W16,,,,,,,,,,,
Tuc,00:24:08.43,-72:05:06.4,,,,,,306,-45,cv:,,,G,-,2002-57*,,2002-57,2002-57,,,NGC 104 CV,,Y,,,,,,,,,
Tuc,00:24:08.49,-72:04:59.9,,,,,,306,-45,cv:,,,G,-,2002-57*,,2002-57,2002-57,,,NGC 104 CV,,Y,,,,,,,,,
Tuc,00:24:08.63,-72:04:58.9,,,,,,306,-45,cv:,,,G,-,2002-57*,,2002-57,2002-57,,,NGC 104 CV,,Y,,,,,,,,,
Tuc,00:24:08.64,-72:05:06.5,,,,,,306,-45,cv:,,,G,-,2002-57*,,2002-57,2002-57,,,NGC 104 CV,,Y,,,,,,,,,
Tuc,00:24:08.86,-72:05:01.6,,,,,,306,-45,cv:,,,G,-,2002-57*,,2002-57,2002-57,,,NGC 104 CV,,Y,,,,,,,,,
Tuc,00:24:09.08,-72:05:43.9,,,,,,306,-45,cv:,,,G,21.6w-,2003-78,,2003-78,A9999-99*,,,NGC 104-W140,,Y,,,,,,,,,
Tuc,00:24:10.03,-72:04:51.6,,,,,,306,-45,cv:,,,G,17.6V- ,1997-44*,,1996-26,,,,NGC 104 Edmonds V5,,,,,,,,,,,
Tuc,00:24:10.05,-72:04:41.2,,,,,,306,-45,cv:,,,G,-,2005-25,,2005-25*,,,,NGC 104-W10,,,,,,,,,,,
Tuc,00:24:10.38,-72:05:17.2,,,,,,306,-45,cv:,0.09877,,G,20.9V-,2003-78,,2003-78,A9999-99*,,2003-78,NGC 104-W71,,Y,,,,,,,,,
Tuc,00:24:10.51,-72:04:25.6,,,,,,306,-45,cv,0.11927,,G,21.7V-,2003-78,,2003-78,A9999-99*,,2003-78,NGC 104-W8,,Y,,,,,,,,,
Tuc,00:24:10.81,-72:06:19.9,,,,,,306,-45,cv,,,G,22.7V-,2003-78,,2003-78,A9999-99,,*,NGC 104-W120,,Y,,,,,,,,,
Tuc,00:24:11.63,-72:04:44.1,,,,,,306,-45,cv,,,G,23.3V-,2003-78,,2003-78,2003-78,,,NGC 104-W70,,Y,,,,,,,,,
Tuc,00:24:14.80,-72:05:58.2,,,,,,306,-45,cv:,,,G,17.7V-,2001-111*,,2001-111,2002-91,,,NGC 104 WF4-V26,,Y,,,,,,,,,
Tuc,00:24:14.84,-72:03:44.8,,,,,,306,-45,cv:,,,G,21.3V-,2001-111,,2001-111,2002-91,,,NGC 104 WF2-V30,,Y,,,,,,,,,
Tuc,00:24:15.63,-72:04:36.3,,,,,,306,-45,cv,262,,G,21.5V-,2003-78,,2003-78,A9999-99*,,2003-78,NGC 104-W2,,Y,,,,,,,,,
Tuc,00:24:16.72,-72:04:27.1,,,,,,306,-45,cv,0.2405,,G,20.4V-,2003-78,,2003-78,A9999-99*,,2003-79,NGC 104-W1,,Y,,,,,,,,,
Psc3,00:24:52.55,-01:53:35.4,0.0019,6,-0.0062,0.0056,2000,108,-64,ug:,,,,15p- ,2004-105,2004-105,1988-07,1988-07,1988-07S,,NSV 15086,,,,,,,,,,,
Tuc,00:24:52.88,-72:03:27.,,,,,,306,-45,cv:,,,G,20.2V-,1998-53,,1998-53,1998-53*,,,NGC 104-B7,,,,,,,,,,,
Psc,00:25:11.07,+12:17:12.1,-67,,-43,,2004.71,113,-50,ugwz,,,,10.5V-17.5B,2004-110,2004-110,2006-09,2004-63,2006-09S,*,ASAS J002511+1217.2,,,,,,,Y,,,,
Cet,00:26:03.80,-09:30:21.0,-7,0.00574,-5,0.00574,2000736,103,-71,nl,,,,20.2g-,2006-05,2006-22,2006-05,A9999-99,2006-05S,,SDSS J002603-093021,,,,,,,,,,,
EN Cet,00:27:28.01,-01:08:28.5,0.00801,0.0039,-0.00613,0.00389,2002677,109,-63,cv/ug:,,,,14.5R-<18.5R,2006-22,2006-22,1997-12,1998-20,1998-20X,,BAO 04,,,,,,,,,,,
V709 Cas,00:28:48.84,+59:17:22.3,0.0011,5,0.0083,5,2000,120,-3,dq,0.2225,,,14.8B-15.4B,2004-106,2004-106,1996-09,1996-09,1996-09S,2001-36,Cas2, RX J0028+5917,,Y,Y,Y,,,Y,,,
PX And,00:30:05.81,+26:17:26.5,-11,0.0027,-0.0112,0.0026,2000,117,-36,nl/vy,0.146353,,,15.0V-17.0V,2004-105,2004-105,1992-32/1994-49,1982-06,1991-02S,2002-131,And1, PG 0027+260,Y,,,,,Y,Y,,,
HQ And,00:31:35.89,+43:49:05.5,-0.0004,0.0054,0.0012,0.0063,2000,119,-19,cv,,,,15.0p-16.2p,2004-105,2004-105,1980-05,1975-05,1999-08S,,S 10774,,,,,,,,,,,
LS And,00:32:10.21,+41:58:10.4,,,,,,119,-21,na:,,1971.65,,11.7p-20.5p,ICRS*,,1987-08,1987-08,,,NSV 191,,,,,,,,,,,
And,00:32:23.1,+25:48:21.,,,,,,118,-37,n::,,1974.,,9.5p-15.p,C00005,,T00003,A9999-99*,,,NSV 15112,,,,,,,,,,,
Cet6,00:33:34.39,-19:21:33.7,,,,,,,,non-cv,,,,- ,,,2000-01*,,,,KUV 00311-1938,,,,,,,,,,,
Cet,00:33:43.57,-28:12:43.2,,,,,,16,-86,cv:,,,,20.6b-,2004-77,,2004-77,2004-77,2004-77S,,2QZ J003343.5-281243,,,,,,,,,,,
VZ Tuc,00:34:01.,-73:16:16.2,,,,,,305,-44,NA,,1927.96,,11.4p-<18p,ICRS,,T00000,1991-12*,,,HV 6334,,,,,,,,,,,
Cet,00:34:01.74,-28:08:18.0,22,14,0.03,2,2000,17,-86,cv:,,,,20.5b-,2003-115,2003-115,2004-77,2004-77,2004-77S,,2QZ J003401.7-280819,,,,,,,,,,,
Psc,00:34:48.,+10:18:00.,,,,,,,,non-ex,,1907.,,- ,,,T00001*,,,,NSV 206,,,,,,,,,,,
LT And,00:35:24.29,+39:46:17.2,,,,,,120,-23,UG,,,,18.1B-19.4B,ICRS*,,T00000,1970-01,,,M31 V0011,,,,,,,,,,,
And,00:37:50.3,+41:21:12.,,,,,,120,-21,N:,,1965.60,,19.6B- ,1995-42,,1995-42*,1971-02*,,,S 10754,,,,,,,,,,,
And,00:38:47.6,+41:04:37.,,,,,,120,-22,N:,,1972.,,17.2B-21B,C00001,,T00001*,1973-05*,,,NSV 238,,,,,,,,,,,
KP Cas,00:38:54.78,+61:13:00.2,12,4,0,3,2000,121,-1,UGSS,,,,15.2p-20p,2003-115,2003-115,T00000,2000-30*,,,S 3865,,,,,,,,,,,
Cet,00:39:41.07,+00:54:27.7,0.00677,0.0039,-0.0251,0.00389,2002677,117,-62,cv,,,,20.6s-,2006-22,2006-22,2005-32,A9999-99,2005-32S,,SDSS J003941+005427,,,,,,,,,,,
PT And,00:40:24.35,+41:04:03.1,,,,,,121,-22,ug/rn,,,,16.3B-<22.B,ICRS*,,2000-56,2000-56*,,,Rosino N 15,,,,,,,,,,,
HV And,00:40:55.41,+43:24:59.4,0.0112,5,-0.0111,5,2000,121,-19,nl,0.05599,,,15.2B-16.8B,1987-28,1987-28,1995-41,1975-05,1992-09S,1985-22,S 10777,,Y,,,,,,,,,
And,00:41:23.68,+41:15:00.4,,,,,,121,-22,UG:,,1966.,,16.4p- ,1995-42,,1995-42*,1973-04*,,,Rosino N 66,,,,,,,,,,,
And,00:41:40.92,+41:03:36.6,,,,,,121,-22,NR:,,1926.45,,16.9p- ,1995-42,,1995-42*,1973-04*,,,Rosino N 39,,,,,,,,,,,
LL And,00:41:51.46,+26:37:21.3,6,1,-0.01,3,2000,120,-36,ugsu,0.055055,,,13.8V-20.0V,2003-115,2003-115,1994-33,1996-13,1996-13X,2003-81,,,Y,,,,,,,,,
Tuc,00:42:57.17,-73:22:52.3,,,,,,304,-44,ug:,,,,18.2I-20.7I,2003-09,,2003-09,,,,OGLE 004257-732252,,,,,,,,,,,
And,00:42:57.64,+41:08:11.9,,,,,,121,-22,UG:,,1963.,,17.8p- ,1995-42,,1995-42*,1973-04*,,,Rosino N 48,,,,,,,,,,,
And,00:43:06.4,+41:30:13.4,,,,,,121,-21,ugz:,,,,18.2V-<23.0V,2003-58,,2003-58,2003-58*,,,D31J04306.4+413013,,,,,,,,,,,
And,00:43:08.61,+41:12:47.6,,,,,,121,-22,am/dq::,,,,-,2004-40,,2004-40*,,,,XMMU J004308+411247,,,,,,,,,,,
Cet,00:43:35.14,-00:37:29.8,0.0268,0.0039,0.01132,0.0039,2001786,119,-63,cv,,,,19.8s-,2006-22,2006-22,2004-45,A9999-99,2004-45S,*,SDSS J004335-003729,,,,,,,,,,,
BL Psc,00:44:01.35,+09:32:58.3,,,,,,,,non-cv,,,,- ,,,1995-28*,,,,RE 0044+093,,,,,,,,,,,
IO And,00:48:19.03,+39:41:12.0,,,,,,,,non-cv,,,,- ,,,1999-09*,,,,S 10785,,,,,,,,,,,
GX Cas,00:49:01.55,+56:52:44.1,0.0122,5,-0.0067,5,2000,123,-5,ugsu,89,,,13.3V-18.5V,2004-106,2004-106,1994-39,1957-02,2000-01S,2003-81,S 3330,,,,,,,,,,,
And,00:49:56.,+43:37:45.,,,,,,123,-19,N:,,1971.,,16.5B-21B,C00001,,T00001*,1973-05*,,,NSV 312,,,,,,,,,,,
And,00:50:01.,+43:33:56.,,,,,,123,-19,N:,,1971.,,16.2B-21B,C00001,,T00001*,1973-05*,,,NSV 313,,,,,,,,,,,
Cet,00:50:50.88,+00:09:12.7,-0.00992,0.0039,-0.01298,0.00389,2002677,123,-63,cv,,,,20.4s-,2006-22,2006-22,2005-32,A9999-99,2005-32S,,SDSS J005050+000912,,,,,,,,,,,
Psc,00:51:26.97,+09:21:32.8,,,,,,,,non-cv,,,,- ,,,1994-49*,,,,PG 0048+091,,,,,,,,,,,
V452 Cas,00:52:18.06,+53:51:50.1,,,,,,123,-9,ugsu,,,,14.5V-18.7V,ICRS,,1999-54,1996-36*,2000-01S,*,S 10453,,,,,,,,,,,
Psc1,00:53:40.13,+17:09:43.7,,,,,,,,non-cv,,,,- ,,,1994-49*,,,,PG 0051+169,,,,,,,,,,,
Tuc,00:57:18.12,-72:42:35.0,,,,,,302,-44,n/z and,,,,15.5I-21.0I,2003-09,,2003-09,,,,OGLE 005718-724235,,,,,,,,,,,
Scl2,00:59:28.43,-26:30:54.8,,,,,,,,non-cv,,,,- ,,,1998-13*,,,,LTT 560/G 269-70,,,,,,,,,,,
IW And,01:01:08.91,+43:23:25.8,1,0.0054,-0.0047,0.0054,2000,125,-19,ugz,,,,14.2p-17.4p,2004-105,2004-105,2003-14,1975-05,1999-08X,,S 10792,,,,,,,,,,,
RX And,01:04:35.54,+41:17:57.8,0.0022,0.0007,-0.0225,0.0011,2000,126,-21,ugz,0.209893,,,10.9v-12.6v,2004-105,2004-105,1987-20,1983-12,1983-12S,1989-21,1E 0101+4101,Y,Y,,,Y,,Y,,,,
V723 Cas,01:05:05.37,+54:00:40.5,,,,,,125,-9,nb,0.693265,1995.65,,7.1V-<18V,1995-25,,1995-25,1998-77,1998-16X,2002-128,,Y,Y,,,,,,,,,
IZ And,01:07:03.88,+42:43:12.3,,,,,,126,-20,UG,,,,15.6p-20.5p,ICRS,,T00000,1975-05,,,S 10794,,,,,,,,,,,
Cet7,01:09:34.83,-08:00:33.2,-12,2,-2,6,2000,136,-70,nl:,,,,15p- ,2003-115,2003-115,1988-07,1988-07,1988-07S,,FBS 0107-082,,,,,,,,,,,
Scl,01:09:46.19,-27:45:23.4,,,,,,223,-86,cv,,,,19.9b-,ICRS,,2001-49,A9999-99*,2001-49S,,2QZ J010946.1-274524,,,,,,,,,,,
Psc,01:09:59.21,+28:01:25.5,,,,,,,,non-cv,,,,-,,,2002-19*,,,,,,,,,,,,,,,
XY Psc,01:10:11.27,+03:32:33.9,8,8,-82,16,2000,132,-59,UG:,,,,13.0p-<18.5p,2003-115,2003-115,T00000,2001-50,,,,,,,,,,,,,,
HT Cas,01:10:13.12,+60:04:35.7,0.0278,5,-0.0097,5,2000,125,-2,ugsu,0.073647,,,10.8v-18.4v,2004-106,2004-106,1987-20,1983-12,1983-12S,1991-32,S 3343,Y,Y,,,Y,Y,Y,,Y,,
