Name,RAJ2000,DEJ2000,Type1,Type2,mag1,Orb.Per,Distance,5%,95%
V1017 Sgr   , 18 32 04.5  , -29 23 12   ,Nb,DN,13.32,5.714000,1283.61,111.04,127.86
MR Vel      , 09 25 45.9  , -47 58 18   ,SS,  ,16.06,4.028782,7740.00,2435.16,4354.83
V630 Cas    , 23 48 51.9  , +51 27 39   ,DN,  ,16.13,2.563870,3682.09,861.86,1611.33
EQ CMa      , 06 48 51.6  , -16 18 03   ,CV,  ,12.06,2.291500,411.86,13.65,14.85
GK Per      , 03 31 12.0  , +43 54 16   ,Na,DN,12.59,1.996803,442.25,13.25,14.47
HV Cet      , 03 05 58.5  , +05 47 14   ,N ,  ,19.02,1.772000,4182.93,2259.09,4686.50
J2044-0459  , 20 44 48.9  , -04 59 29   ,DN,UG,16.40,1.680000,2372.79,646.10,1350.98
V5589 Sgr   , 17 45 28.0  , -23 05 23   ,Na,  , nan,1.592300,nan,nan,nan
V394 CrA    , 18 00 26.0  , -39 00 35   ,Nr,  ,17.99,1.515682,4040.67,2098.66,4258.88
X  Ser      , 16 19 17.7  , -02 29 30   ,Nb,  ,17.11,1.480000,3982.30,1702.78,3865.36
V2674 Oph   , 17 26 32.1  , -28 49 39   ,Na,  ,19.26,1.302100,3092.66,1991.89,4709.29
J1805-3154  , 18 05 25.4  , -31 54 05   ,Na,  , nan,1.266400,nan,nan,nan
U  Sco      , 16 22 30.8  , -17 52 44   ,Nr,  ,18.17,1.230547,-2.84,0.01,0.02
N LMC 2009a , 05 40 44.2  , -66 40 12   ,Nr,  ,19.89,1.190000,-8.45,0.02,0.01
AKO 9       , 00 24 04.8  , -72 04 55   ,DN,  ,11.37,1.109099,3561.15,1049.66,2182.86
CAL 83      , 05 43 34.2  , -68 22 22   ,SS,  ,17.53,1.047529,6624.91,2535.24,4282.06
CP Cru      , 12 10 31.4  , -61 45 10   ,Na,  ,19.68,0.944000,3077.10,1857.91,4558.78
V1129 Cen   , 12 39 07.9  , -45 33 44   ,DN,  ,9.54,0.893025,290.66,7.54,8.13
V1082 Sgr   , 19 07 21.9  , -20 46 50   ,NL,VY,14.07,0.867520,670.89,19.99,21.21
J0032-7420  , 00 32 55.1  , -74 20 20   ,N ,EG, nan,0.850000,nan,nan,nan
J1714+5851  , 17 14 56.8  , +58 51 28   ,DN,  ,14.19,0.838030,480.54,5.91,5.87
V726 Sgr    , 18 19 33.7  , -26 53 20   ,Na,  , nan,0.822812,nan,nan,nan
J0454-7026  , 04 54 56.9  , -70 26 56   ,Na,  ,18.18,0.802000,4456.81,2057.40,4374.24
V731 Cas    , 23 57 00.3  , +56 45 08   ,NL,  ,18.76,0.780600,4597.23,2200.56,4418.99
J0513-6951  , 05 13 50.8  , -69 51 48   ,SS,  ,16.95,0.762956,-10.75,0.02,0.02
J1414-6516  , 14 14 30.1  , -65 16 23   ,NL,IP, nan,0.743000,nan,nan,nan
J1509-2147  , 15 09 46.6  , -21 47 46   ,DN,  ,11.41,0.702420,567.17,27.90,31.97
V723 Cas    , 01 05 05.4  , +54 00 41   ,Nb,  ,15.50,0.693277,6542.84,1885.65,3510.25
V368 Aql    , 19 26 34.4  , +07 36 14   ,Na,  ,15.73,0.690509,2783.54,525.93,871.07
QR And      , 00 19 49.8  , +21 56 53   ,SS,IP,12.24,0.660465,2049.78,263.07,367.85
V445 Pup    , 07 37 56.9  , -25 56 59   ,N ,  , nan,0.650650,nan,nan,nan
V2731 Oph   , 17 30 21.9  , -05 59 32   ,NL,IP,15.78,0.642500,2392.38,443.77,686.34
V478 Her    , 17 21 05.6  , +23 39 40   ,DN,  ,17.07,0.629049,2716.43,554.60,961.55
CI Aql      , 18 52 03.6  , -01 28 39   ,Nr,  ,15.76,0.618360,3209.97,690.41,1084.11
BV Cen      , 13 31 19.6  , -54 58 34   ,DN,UG,12.77,0.611179,366.80,9.01,9.55
J1930+0530  , 19 30 50.8  , +05 30 58   ,CV,  ,10.60,0.610920,326.22,8.02,8.35
V841 Oph    , 16 59 30.3  , -12 53 27   ,Nb,  ,13.63,0.601304,825.14,29.53,32.04
V479 And    , 00 18 56.9  , +34 54 44   ,NL,AM,17.12,0.594093,2625.33,726.39,1419.23
DI Lac      , 22 35 48.6  , +52 43 00   ,Na,  ,14.47,0.543773,1648.72,89.09,96.07
V  Sge      , 20 20 14.8  , +21 06 09   ,SS,  ,11.18,0.514197,2428.33,287.99,340.68
J1951+3716  , 19 51 47.5  , +37 16 48   ,NL,  ,15.74,0.492000,542.06,18.46,19.39
UY Pup      , 07 46 31.2  , -12 57 09   ,DN,UG,15.14,0.479269,1063.59,73.43,76.26
NGC 6397-CV1, 17 40 41.6  , -53 40 19   ,  ,  ,13.64,0.471199,3468.44,486.38,715.39
V442 Cen    , 11 24 51.9  , -35 54 38   ,DN,UG,15.75,0.460000,339.48,8.58,8.66
EY Cyg      , 19 54 36.8  , +32 21 55   ,DN,UG,14.35,0.459324,648.36,13.59,14.39
