Name,RA_Simbad,DEC_Simbad
PG 2357+125                                                              ,23 59 58.3122919091,+12 44 46.166630009
2QZ J235703.1-314911                                              ,23 57 03.20        ,-31 49 10.6        
V731 Cas,23 57 00.28        ,+56 45 08.3        
V370 Peg                                              ,23 54 39.19        ,+28 22 49.7        
DI Phe                                        ,23 54 20.4         ,-47 00 20          
USNO-A2.0 1125-19982531                                                              ,23 53 52.4717118966,+23 09 20.333498685
BW Scl,23 53 00.8739237163,-38 51 46.659560093
BC Cas                                                              ,23 51 17.4226278259,+60 18 10.151963726
MCT 2347-3144                                            ,23 50 30.62        ,-31 27 33.4        
NSV 26152                                              ,23 50 16.88        ,+46 59 21.9        
VZ Scl,23 50 09.2550905092,-26 22 52.701879982
EQ J2349.7-0908                                           ,23 49 42.3         ,-09 08 03          
V630 Cas,23 48 51.9181789921,+51 27 39.166360796
V704 And                                                           ,23 44 57.5113958238,+43 31 22.263672873
V705 Cas,23 41 47.19        ,+57 30 59.5        
HX Peg,23 40 23.6982622737,+12 37 41.710323288
V378 Peg,23 40 04.2918025466,+30 17 47.379574199
CRTS J233848.7+281955                                                           ,23 38 48.6784997003,+28 19 54.998855964
2MASS J23375921+4308509                           ,23 37 59.2138667625,+43 08 51.029970963
SDSS J233512.11+495416.9                                                              ,23 35 12.1138910803,+49 54 16.921878304
EH Aqr                                              ,23 34 06.01        ,-22 48 42.9        
V455 And                                                           ,23 34 01.4485468687,+39 21 40.866526351
V598 Peg                                                           ,23 33 25.9215015296,+15 22 22.156064002
EI Psc,23 29 54.2149131154,+06 28 11.597690024
DX And,23 29 46.6839033611,+43 45 04.034386165
VY Scl,23 29 00.4711137193,-29 46 45.980626470
AY Oct                                                              ,23 27 50.9487630466,-75 40 40.721464807
BV And                                                              ,23 27 02.0883942361,+50 07 12.964513307
EG Aqr,23 25 19.1949546968,-08 18 19.113093571
IP Peg,23 23 08.5362716048,+18 24 59.206210572
KUV 23182+1007                                                              ,23 20 44.2787219939,+10 23 51.415740806
GD 1555                                                              ,23 18 34.4214380875,-29 58 09.840302289
PG 2315+071                                                              ,23 17 48.1090337110,+07 22 45.425021906
EZ Peg                                                              ,23 16 53.3490590795,+25 43 10.166078512
