 FI Cas, 00 06 09.96, +55 58 50.7,-21,5, -0.0048,5,2000,117,-6, ugSS, , , , 15.0p-18.5p, 2004-106, 2004-106, 1987-04/T00000, 1987-04, 2000-01S, , 230.1940, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 06 09.96+++55 58 50.7&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 Peg1, 00 11 33.10, +18 49 48.4, , , , , , , , non-cv, , , , - , , , 1999-09*, , , , PG 0008+185, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 11 33.10+++18 49 48.4&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 Cas, 00 12 43.5, +52 47 20., , , , , ,117,-10, ug:, , , , 13.8v-19.5v, ICRS, , 1999-21, A9999-99, , , LD 324, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 12 43.5+++52 47 20.&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 DK Cas, 00 18 07.83, +57 26 07.1,68,15,14,8,2000,118,-5, ugss, , , , 15.3p-18.6V, 2003-115, 2003-115, 2001-19, 1991-15*, 2000-01S, , 244.1940, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 18 07.83+++57 26 07.1&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 HP And, 00 19 09.3, +41 27 42., , , , , ,116,-21, UG:, , , , 10.5p-<14.5p, ICRS*, , T00000, 1926-01, , , SVS 71, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 19 09.3+++41 27 42.&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 VW Tuc, 00 20 19.11, -73 52 08.1, , , , , ,306,-43, UG:, , , , 15.4p-<16.5p, ICRS, , T00000, 1991-15*, 1998-13S, , HV 6327, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 20 19.11++-73 52 08.1&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 And, 00 21 48.45, +35 04 51.2,11,5, -0.0078,5,2000,116,-27, cv, , , , 15.0v- , 2004-105, 2004-105, 1999-37*, 1994-71, , , FBS 0019+348, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 21 48.45+++35 04 51.2&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 V410 Cas, 00 23 27.67, +61 46 28.9, , , , , ,120,0, NL/z an, , , , 15.5p-18p, ICRS, , T00000/1992-03, 1967-02*, , , S 10141, , , , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 23 27.67+++61 46 28.9&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 Tuc, 00 23 59.34, -72 04 38.7, , , , , ,306,-45, cv, , , G, 21.3w-, 2003-78, , 2003-78, A9999-99*, , , NGC 104-W85, , Y, , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 23 59.34++-72 04 38.7&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 Tuc, 00 24 01.37, -72 04 42.0, , , , , ,306,-45, cv, , , G, 21.5w-, 2003-78, , 2003-78, A9999-99, , , NGC 104-W82, , Y, , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 24 01.37++-72 04 42.0&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
 Tuc, 00 24 02.06, -72 05 42.3, , , , , ,306,-45, cv, , , G, 22.6w-, 2003-78, , 2003-78, 2003-79, , , NGC 104-W56, , Y, , , , , , , , ,0, , http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=00 24 02.06++-72 05 42.3&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=5&Radius.unit=arcsec&submit=submit+query&CoordList=
