GCVS-Name	RA(2000)	Dec(2000)	PM-RA	PM-RAerr	PM-Dec	PM-Decerr	Epoch	l	b	Type	Period	Outburst	Cluster	Mag. Range	Coord-Ref.	PM-Ref	Type-Ref.	Chart-Ref.	Spect-Ref.	Period-Ref.	Other-Name	IUE	HST	ARIEL5	HEAO1	HEAO2	EXOSAT	ROSAT	GINGA	ASCA	EUVE
EF Tuc,  00 06,  -67 07 43.3,  0.0128,  0.0058,  -0.0047,  0.0058,  2000,  310,  -49,  ug,  145,  ,  ,  12.4I-14.6I,  2004-105,  2004-105,  2002-120,  A9999-99,  2001-56S,  2003-87,  1RXS J0001-6707,  ,  ,  ,  ,  ,  ,  Y,  ,  ,  ,  
Tuc,  00 06 09.96,  -69 00,  ,  ,  ,  ,  ,  309,  -48,  cv,  72,  ,  ,  -,  2005-10,  ,  2005-10,  ,  ,  2005-10,  CTCV J0006-6900,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
WW Cet,  00 11 33.10,  -11 28 43.2,  0.0126,  0.0014,  9,  0.0032,  2000,  90,  -71,  ugz:,  0.1758,  ,  ,  9.3V-15.7V,  2004-105,  2004-105,  1987-20,  1982-03,  1983-12S,  1996-68,  HV 8002/PHL 718,  Y,  ,  ,  Y,  Y,  Y,  Y,  ,  Y,  ,  
Peg1,  00 12 43.5,  +18 49 48.4,  ,  ,  ,  ,  ,  ,  ,  non-cv,  ,  ,  ,  - ,  ,  ,  1999-09*,  ,  ,  ,  PG 0008+185,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cas,  00 18 07.83,  +52 47 20.,  ,  ,  ,  ,  ,  117,  -10,  ug:,  ,  ,  ,  13.8v-19.5v,  ICRS,  ,  1999-21,  A9999-99,  ,  ,  LD 324,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
And,  00 19 09.3,  +34 54 44.3,  ,  ,  ,  ,  ,  115,  -27,  nl,  ,  ,  ,  17.8s-,  2005-32,  ,  2005-32,  A9999-99,  2005-32S,  ,  SDSS J001856+345444,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
QR And,  00 20 19.11,  +21 56 52.1,  0.0184,  0.0013,  -6,  0.0013,  2000,  113,  -40,  cbss,  0.660465,  ,  ,  12.2V-,  2004-105,  2004-105,  1995-71,  1995-70,  1995-71S,  2001-89,  RX J0019.8+2156,  ,  Y,  ,  ,  ,  ,  Y,  ,  ,  ,  
CM Phe,  00 21 48.45,  -51 42 34.8,  0.0071,  0.0053,  -0.0108,  0.0053,  2000,  314,  -65,  nl?/cv,  0.2689,  ,  ,  15.3V- ,  2004-105,  2004-105,  1989-16/1995-16,  1969-03,  1998-13S,  2002-38,  Phe1/JL 181,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cas,  00 23 27.67,  +61 41 07.8,  ,  ,  ,  ,  ,  120,  -1,  cv,  ,  ,  ,  18.0B-,  2006-20,  ,  2006-20,  2006-20,  2006-20S,  ,  IGR J00234+6141,  ,  ,  ,  ,  ,  ,  Y,  ,  ,  ,  
V410 Cas,  00 23 59.34,  +61 46 28.9,  ,  ,  ,  ,  ,  120,  0,  NL/z an,  ,  ,  ,  15.5p-18p,  ICRS,  ,  T00000/1992-03,  1967-02*,  ,  ,  S 10141,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Tuc,  00 24 01.37,  -72 04 38.7,  ,  ,  ,  ,  ,  306,  -45,  cv,  ,  ,  G,  21.3w-,  2003-78,  ,  2003-78,  A9999-99*,  ,  ,  NGC 104-W85,  ,  Y,  ,  ,  ,  ,  ,  ,  ,  ,  
