Name, RAJ2000, DEJ2000, Type1, Type2, mag1, Orb.Per, Distance, 5%, 95%
EQ CMa, 06 48 51.6, -16 18 03, DN,   , 16.13, 2.563870, 3682.09, 861.86, 1611.33
HV Cet, 03 05 58.5, +05 47 14, Na, DN, 12.59, 1.996803, 442.25, 13.25, 14.47
V5589 Sgr, 17 45 28.0, -23 05 23, DN, UG, 16.40, 1.680000, 2372.79, 646.10, 1350.98
V2674 Oph, 17 26 32.1, -28 49 39, Nb,   , 17.11, 1.480000, 3982.30, 1702.78, 3865.36
J1805-3154, 18 05 25.4, -31 54 05, Na,   , 19.26, 1.302100, 3092.66, 1991.89, 4709.29
N LMC 2009a, 05 40 44.2, -66 40 12, Nr,   , 18.17, 1.230547, -2.84, 0.01, 0.02
CAL 83, 05 43 34.2, -68 22 22, DN,   , 11.37, 1.109099, 3561.15, 1049.66, 2182.86
V1129 Cen, 12 39 07.9, -45 33 44, Na,   , 19.68, 0.944000, 3077.10, 1857.91, 4558.78
J0032-7420, 00 32 55.1, -74 20 20, NL, VY, 14.07, 0.867520, 670.89, 19.99, 21.21
J1714+5851, 17 14 56.8, +58 51 28, N , EG,  nan, 0.850000, nan, nan, nan
J0454-7026, 04 54 56.9, -70 26 56, Na,   ,  nan, 0.822812, nan, nan, nan
J0513-6951, 05 13 50.8, -69 51 48, NL,   , 18.76, 0.780600, 4597.23, 2200.56, 4418.99
J1414-6516, 14 14 30.1, -65 16 23, SS,   , 16.95, 0.762956, -10.75, 0.02, 0.02
J1509-2147, 15 09 46.6, -21 47 46, NL, IP,  nan, 0.743000, nan, nan, nan
J1930+0530, 19 30 50.8, +05 30 58, DN, UG, 12.77, 0.611179, 366.80, 9.01, 9.55
CAL 87, 05 46 48.3, -71 09 24, NL,   , 11.37, 0.450000, 590.28, 20.97, 22.06
J1755-2816, 17 55 53.3, -28 16 34, DN, UG, 14.78, 0.440502, 598.81, 13.42, 15.38
J1051-6127, 10 51 36.7, -51 27 39, CV,   , 16.21, 0.431035, 905.27, 86.30, 107.10
V537 Peg, 22 43 40.7, +30 55 20, DN, UG, 18.90, 0.426916, -4.29, 0.02, 0.02
J0043+4113, 00 43 20.0, +41 13 46, NL, IP, 14.33, 0.411000, 1278.19, 67.69, 78.16
J1756-2748, 17 56 07.3, -27 48 48, N , IP,  nan, 0.409500, nan, nan, nan
